,name,initial_method,n_qubits,m_state,n_g2_initial,time_initial,n_g2_qiskit,time_qiskit,n_g2_bqskit_flow,time_bqskit_flow,n_g2_ours,time_ours
223,Random-Dense-Uniform,n_flow,9,256,510,0.06549086098675616,508,0.5761216859973501,656,13.524920817988459,509,5.449339298997074
224,Random-Dense-Nonuniform,n_flow,3,4,6,0.0008120810089167207,6,0.005981772992527112,6,4.027786307997303,3,0.001603394019184634
225,Random-Dense-Nonuniform,n_flow,4,8,14,0.0014734119758941233,14,0.010833111999090761,16,2.938049045013031,11,0.00470660999417305
226,Random-Dense-Nonuniform,n_flow,5,16,30,0.002502165996702388,30,0.019159844989189878,35,3.6047253849974368,29,0.019384654995519668
227,Random-Dense-Nonuniform,n_flow,6,32,62,0.004211628023767844,62,0.039071984007023275,79,4.71302029400249,61,0.06700729200383648
228,Random-Dense-Nonuniform,n_flow,7,64,126,0.014000195980770513,126,0.08820550897507928,153,6.642446574987844,125,0.27656632600701414
229,Random-Dense-Nonuniform,n_flow,8,128,254,0.03926103701815009,254,0.2698311359854415,312,11.81553626601817,253,1.3607266159961
230,Random-Dense-Nonuniform,n_flow,9,256,510,0.064922984020086,510,0.6078854119987227,652,12.050070786994183,509,5.276550504000625
231,Random-Sparse-Uniform,n_flow,3,3,4,0.0008594100072514266,3,0.016293160995701328,4,0.9692086429859046,2,0.001018204988213256
232,Random-Sparse-Uniform,n_flow,4,4,6,0.0008178320131264627,6,0.005735824001021683,6,3.1607015320041683,3,0.0015574779827147722
233,Random-Sparse-Uniform,m_flow,5,5,9,0.008942684013163671,8,0.023294962011277676,8,1.5037467229994945,6,0.0017793510050978512
234,Random-Sparse-Uniform,m_flow,6,6,13,0.0287309100094717,12,0.036872391996439546,13,1.2548441469843965,10,0.0025926149974111468
235,Random-Sparse-Uniform,m_flow,7,7,23,0.07452041300712153,23,0.011222644010558724,25,2.043102401017677,18,0.004619418003130704
236,Random-Sparse-Uniform,m_flow,8,8,30,0.1336651050078217,30,0.012042432994348928,32,1.6042684390267823,25,0.005279916018480435
