cx,time,num_qubits,cardinality,method
4.0,0.008922574000280292,3,$m = n$,m-flow
122.0,0.044270551999943564,4,$m = n$,sota
7.0,0.45487754399982805,4,$m = n$,ours
10.0,0.010536869000134175,4,$m = n$,m-flow
26.0,0.04471949000071618,5,$m = n$,sota
7.0,1.9712990730004094,5,$m = n$,ours
10.0,0.012798548000318988,5,$m = n$,m-flow
61.0,0.04916153900012432,6,$m = n$,sota
9.0,10.015782014999786,6,$m = n$,ours
26.0,0.021459452000271995,6,$m = n$,m-flow
343.0,0.04796276399974886,7,$m = n$,sota
18.0,0.049699792999490455,7,$m = n$,ours
34.0,0.02475235200017778,7,$m = n$,m-flow
452.0,0.04320517599990126,8,$m = n$,sota
27.0,0.44867052100016735,8,$m = n$,ours
34.0,0.022057516999666404,8,$m = n$,m-flow
575.0,0.04512996399989788,9,$m = n$,sota
38.0,0.3596404159998201,9,$m = n$,ours
47.0,0.030120958000225073,9,$m = n$,m-flow
584.0,0.05607389199940371,10,$m = n$,sota
46.0,0.007104201999936777,10,$m = n$,ours
67.0,0.03910432300017419,10,$m = n$,m-flow
516.0,0.04894704100024683,11,$m = n$,sota
49.0,0.4716858530000536,11,$m = n$,ours
66.0,0.034613361999618064,11,$m = n$,m-flow
839.0,0.04467649999969581,12,$m = n$,sota
58.0,0.0062407409996012575,12,$m = n$,ours
103.0,0.050510605000454234,12,$m = n$,m-flow
888.0,0.04739466600040032,13,$m = n$,sota
75.0,0.010264622999784478,13,$m = n$,ours
91.0,0.04767724100020132,13,$m = n$,m-flow
1071.0,0.055916732000696356,14,$m = n$,sota
87.0,0.010720023000430956,14,$m = n$,ours
130.0,0.058045337999828917,14,$m = n$,m-flow
1105.0,0.058734536999509146,15,$m = n$,sota
94.0,0.04839261699999042,15,$m = n$,ours
143.0,0.064189861000159,15,$m = n$,m-flow
954.0,0.0731083579994447,16,$m = n$,sota
108.0,0.013213039000220306,16,$m = n$,ours
165.0,0.07023449899952539,16,$m = n$,m-flow
1316.0,0.08223219299998163,17,$m = n$,sota
153.0,0.014833498999905714,17,$m = n$,ours
186.0,0.13129379700058053,17,$m = n$,m-flow
1541.0,0.08631218099981197,18,$m = n$,sota
175.0,0.01567243200042867,18,$m = n$,ours
228.0,0.09938772399982554,18,$m = n$,m-flow
1341.0,0.09915490000003047,19,$m = n$,sota
176.0,0.01769227899967518,19,$m = n$,ours
237.0,0.122630286000458,19,$m = n$,m-flow
1522.0,0.11081511300017155,20,$m = n$,sota
196.0,0.018452668000463746,20,$m = n$,ours
286.0,0.16065664000052493,20,$m = n$,m-flow
,0.05015181599992502,3,$m = n$,sota
2.0,0.0021044029999757186,3,$m = n$,ours
3.0,0.009126253999966139,3,$m = n$,m-flow
27.0,0.04667429999972228,4,$m = n$,sota
6.0,0.042618892999598756,4,$m = n$,ours
9.0,0.012422898999830068,4,$m = n$,m-flow
45.0,0.047591713000656455,5,$m = n$,sota
6.0,0.9738799819997439,5,$m = n$,ours
10.0,0.01327392500024871,5,$m = n$,m-flow
253.0,0.050260938000064925,6,$m = n$,sota
13.0,0.46384730199952173,6,$m = n$,ours
18.0,0.015874869999606744,6,$m = n$,m-flow
301.0,0.04640148299949942,7,$m = n$,sota
