,num_qubit,sparsity,baseline,ours,time
212,3,5,23,5,0.03200488399852475
213,3,5,30,4,0.03498817599938775
214,3,5,13,5,0.034309343000131776
215,3,5,23,5,0.03389831700042123
216,3,5,19,4,0.036307117999967886
217,3,5,24,6,0.03737880200060317
218,3,5,12,5,0.030208201000277768
219,3,5,13,5,0.027910282000448206
220,3,5,12,3,0.02997527199840988
221,3,5,24,5,0.029474812999978894
222,3,5,6,4,0.0168138450007973
223,3,5,6,7,0.03509964899967599
224,3,5,16,4,0.026016158000857104
225,3,5,13,5,0.032591217999652144
226,3,5,31,5,0.028416086999641266
227,3,5,28,6,0.040560727000411134
228,3,5,35,5,0.03474715100128378
229,3,5,23,5,0.03149921899967012
230,3,5,20,3,0.029218484998636995
231,3,5,6,4,0.01699273899976106
232,3,5,36,6,0.0374453349995747
233,3,5,30,6,0.035466843999529374
234,3,5,35,5,0.03354601400133106
235,3,5,12,5,0.030828498000118998
236,3,5,24,5,0.03008716399926925
237,3,5,24,6,0.037654011000995524
238,3,5,25,5,0.03924304099928122
239,3,5,19,6,0.035805085999527364
240,3,5,7,6,0.03514221399927919
241,3,5,22,5,0.03225340700009838
242,3,5,14,6,0.03555945699918084
243,3,5,14,6,0.034907585999462754
244,3,5,6,4,0.016580860999965807
245,3,5,28,6,0.038745021000067936
246,3,5,19,4,0.03593883199937409
247,3,5,18,5,0.03477365999970061
248,3,6,4,2,0.0066899940011353465
249,3,6,25,4,0.029450817999531864
250,3,6,3,2,0.0074708409993036184
251,3,6,4,2,0.0062623869998787995
252,3,6,20,3,0.013232964000053471
253,3,6,32,3,0.013492258000042057
254,3,6,25,4,0.02933963000032236
255,3,6,2,2,0.006633319000684423
256,3,6,5,2,0.006364667000525515
257,3,6,20,3,0.015138218999709352
258,3,6,20,3,0.014222440999219543
259,3,6,24,3,0.013940384000306949
260,3,6,4,2,0.00629967500026396
261,3,6,32,3,0.01440099100000225
262,3,6,4,3,0.013771979000011925
263,3,6,32,4,0.030825060999632115
264,3,6,38,3,0.013148546000593342
265,3,6,24,3,0.013744977999522234
266,3,6,38,3,0.01319621500078938
267,3,6,4,3,0.012863744999776827
268,3,6,24,3,0.014629638999394956
269,3,6,24,3,0.013907743001254858
270,3,6,30,3,0.013888717001464101
271,3,6,27,3,0.013204860999394441
272,3,6,4,2,0.006425510999179096
273,3,6,30,3,0.018120404000001145
274,3,6,32,4,0.030964188001235016
275,3,6,32,3,0.014039896999747725
276,3,6,3,2,0.007829858999684802
277,3,6,25,4,0.029681334000997595
278,3,6,27,3,0.01260897800057137
279,3,6,7,2,0.006347745000311988
280,3,6,12,2,0.0061653459997614846
281,3,6,14,3,0.013612602000648621
282,3,6,25,4,0.03016070900048362
283,3,6,14,3,0.013634842998726526
284,3,6,14,3,0.013643060001413687
285,3,6,25,4,0.030674702999021974
286,3,6,27,3,0.013442673000099603
287,3,6,32,3,0.013111435999235255
288,3,6,32,4,0.030516681999870343
289,3,6,4,2,0.006347234000713797
290,3,6,5,2,0.006449275000704802
291,3,6,32,3,0.013621870000861236
292,3,6,15,3,0.012794093001502915
293,3,6,15,3,0.01334789500106126
294,3,6,20,3,0.013809796000714414
295,3,6,4,2,0.006489170000349986
296,3,6,4,2,0.0072200930007966235
297,3,6,14,3,0.01380272800088278
298,3,6,24,3,0.013372789999266388
299,3,6,32,3,0.01428293000026315
300,3,6,4,2,0.006566963998920983
301,3,6,3,2,0.007951128000058816
302,3,6,32,4,0.03041162599947711
303,3,6,20,3,0.013331116000699694
304,3,6,27,3,0.013459083000270766
305,3,6,20,3,0.013383483999859891
306,3,6,3,2,0.007661307001399109
307,3,6,5,2,0.006599122998522944
308,3,6,4,2,0.0070464680011355085
309,3,6,38,3,0.013265325000247685
310,3,6,15,3,0.01316731100087054
311,3,6,7,2,0.0065074329995695734
312,3,6,32,4,0.03046724100022402
313,3,6,20,3,0.013998521999383229
314,3,6,24,3,0.01526999199995771
315,3,6,15,3,0.01313974699951359
316,3,6,13,3,0.015915777999907732
317,3,6,12,2,0.0065899050005100435
318,3,6,7,2,0.007118061001165188
319,3,6,4,2,0.00654885100084357
